IDENT,AREA,STRAT,HEN_LT20,HEN_GE20,HEN_OTH,HEN_TOT,EGG_LAID,EGG_SOLD,EGG_VALU,QR_REV,QR_EXP,QR_PROF
R001,90,1,0,480,0,480,226,225,338,7843,749,7094
R002,90,1,0,500,0,500,230,227,374,8397,973,7424
R003,90,1,0,490,0,490,220,219,278,6123,3838,2285
R004,90,1,0,165,0,165,35,34,59,1448,1306,142
R005,91,2,100,175,0,275,78,75,101,2352,1864,595
R006,91,1,0,55,0,55,15,10,15,311,443,-132
R007,91,2,173,150,0,323,64,61,67,1533,2603,-929
R008,91,3,0,300,100,400,105,102,155,3384,3351,33
R009,91,1,0,75,0,75,35,33,41,827,301,526
R010,91,2,0,198,0,198,76,74,104,2563,1059,1504
R011,91,2,100,0,0,100,0,0,0,0,695,-695
R012,91,2,0,260,0,260,112,107,136,2858,1371,1487
R013,91,2,0,24,0,24,-12,-11,14,295,46,249
R014,91,1,0,80,25,155,23,21,26,587,301,286
R015,91,1,140,200,0,340,0,78,78,1771,1302,469
R016,91,3,0,300,0,300,120,119,139,3700,1165,2535
R017,91,2,100,230,0,330,76,75,75,1731,1238,493
R018,91,1,0,70,0,70,35,33,33,897,561,336
R019,91,1,0,100,0,100,20,18,22,476,273,203
R020,91,2,300,300,0,600,128,125,150,3689,3294,395
R021,91,2,0,165,0,165,73,71,89,2243,1377,866
R022,91,1,0,50,0,50,20,17,24,616,224,392
R023,91,1,0,125,0,125,35,30,38,852,845,36
R024,92,2,135,90,0,225,35,33,40,1025,872,153
R025,92,1,60,65,1,126,25,24,31,649,807,-158
R026,92,1,0,40,0,40,10,5,88,2037,218,1819
R027,92,1,0,60,0,60,25,21,32,789,121,668
R028,92,3,0,500,0,500,262,260,247,5739,3044,2695
R029,92,1,,150,,150,53,50,60,1280,709,571
R030,92,3,0,420,0,420,175,172,272,5789,1235,4554
R031,92,1,0,50,50,100,14,12,15,320,285,35
R032,92,1,0,95,0,95,42,36,50,1064,149,915
R033,92,3,0,475,0,475,210,205,324,7315,1346,5716
R034,92,2,0,280,0,280,135,130,169,3452,1161,2291
R035,92,3,0,490,6,496,210,208,318,6972,2986,4257
R036,92,1,59,141,12,212,58,54,81,2054,1323,731
R037,92,1,6,18,0,24,5,3,5,125,109,16
R038,92,1,0,20,0,20,10,0,0,0,90,-90
R039,92,1,0,48,0,48,5,3,5,107,125,-18
R040,92,1,170,28,0,198,4,2,2,42,307,-265
R041,92,1,0,100,0,100,29,0,0,0,359,-359
R042,93,2,0,30,0,30,8,0,0,0,60,-60
R043,93,2,100,0,0,100,0,0,0,0,177,-177
R044,93,2,100,62,0,162,30,28,35,788,723,65
R045,93,3,0,11,24,35,3,0,0,0,176,-176
R046,93,2,-1,-1,-1,-1,-1,-1,-1,-27,-2,-24
R047,93,2,86,70,0,156,43,41,66,1547,611,936
R048,93,3,0,180,0,180,12,11,17,430,408,22
R049,93,3,0,300,6,306,105,102,153,3965,1925,2040
R050,93,3,100,100,20,220,102,98,147,2421,1801,1620
R051,93,3,0,50,0,50,10,8,12,284,113,171
R052,93,2,0,100,0,100,10,5,8,180,708,-528
R053,93,2,0,130,0,130,25,24,36,790,959,-169
R054,93,3,125,130,0,255,80,78,117,2433,823,1610
